timestamp,min_rtt_ms,avg_rtt_ms,max_rtt_ms,packet_loss_percent
2026-02-23T07:54:52.660206,70.184,70.184,70.184,0.0
2026-02-23T07:54:52.734052,70.138,70.138,70.138,0.0
2026-02-23T07:54:52.807720,70.152,70.152,70.152,0.0
2026-02-23T07:54:52.880730,70.148,70.148,70.148,0.0
2026-02-23T07:54:52.954337,70.157,70.157,70.157,0.0
2026-02-23T07:54:53.027816,70.171,70.171,70.171,0.0
2026-02-23T07:54:53.100618,70.131,70.131,70.131,0.0
2026-02-23T07:54:53.173665,70.149,70.149,70.149,0.0
2026-02-23T07:54:53.246897,70.145,70.145,70.145,0.0
2026-02-23T07:54:53.319819,70.168,70.168,70.168,0.0
2026-02-23T07:54:53.392605,70.126,70.126,70.126,0.0
2026-02-23T07:54:53.465677,70.105,70.105,70.105,0.0
2026-02-23T07:54:53.538792,70.144,70.144,70.144,0.0
2026-02-23T07:54:53.611686,70.106,70.106,70.106,0.0
2026-02-23T07:54:53.684832,70.138,70.138,70.138,0.0
2026-02-23T07:54:53.757596,70.112,70.112,70.112,0.0
2026-02-23T07:54:53.830366,70.101,70.101,70.101,0.0
2026-02-23T07:54:53.903145,70.073,70.073,70.073,0.0
2026-02-23T07:54:53.975888,70.131,70.131,70.131,0.0
2026-02-23T07:54:54.048836,70.057,70.057,70.057,0.0
2026-02-23T07:54:54.121811,70.154,70.154,70.154,0.0
2026-02-23T07:54:54.194620,70.115,70.115,70.115,0.0
2026-02-23T07:54:54.267744,70.152,70.152,70.152,0.0
2026-02-23T07:54:54.341479,70.132,70.132,70.132,0.0
2026-02-23T07:54:54.414887,70.057,70.057,70.057,0.0
2026-02-23T07:54:54.487975,70.13,70.13,70.13,0.0
2026-02-23T07:54:54.561314,70.047,70.047,70.047,0.0
2026-02-23T07:54:54.633771,70.042,70.042,70.042,0.0
2026-02-23T07:54:54.706786,70.102,70.102,70.102,0.0
2026-02-23T07:54:54.780115,70.128,70.128,70.128,0.0
2026-02-23T07:54:54.854596,70.885,70.885,70.885,0.0
2026-02-23T07:54:54.927790,70.178,70.178,70.178,0.0
2026-02-23T07:54:55.000747,70.091,70.091,70.091,0.0
2026-02-23T07:54:55.073832,70.108,70.108,70.108,0.0
2026-02-23T07:55:05.077059,,,,100.0
2026-02-23T07:55:05.151096,70.081,70.081,70.081,0.0
2026-02-23T07:55:05.224980,70.125,70.125,70.125,0.0
2026-02-23T07:55:05.298265,70.067,70.067,70.067,0.0
2026-02-23T07:55:05.372150,70.088,70.088,70.088,0.0
2026-02-23T07:55:05.446146,70.066,70.066,70.066,0.0
2026-02-23T07:55:05.519537,70.067,70.067,70.067,0.0
2026-02-23T07:55:05.593037,70.063,70.063,70.063,0.0
2026-02-23T07:55:05.666925,70.098,70.098,70.098,0.0
2026-02-23T07:55:05.740839,70.062,70.062,70.062,0.0
2026-02-23T07:55:05.814164,70.075,70.075,70.075,0.0
2026-02-23T07:55:05.887550,70.768,70.768,70.768,0.0
2026-02-23T07:55:05.962452,71.679,71.679,71.679,0.0
2026-02-23T07:55:06.035920,70.109,70.109,70.109,0.0
2026-02-23T07:55:06.109061,70.109,70.109,70.109,0.0
2026-02-23T07:55:06.182546,70.147,70.147,70.147,0.0
2026-02-23T07:55:06.255108,70.065,70.065,70.065,0.0
2026-02-23T07:55:06.328572,70.088,70.088,70.088,0.0
2026-02-23T07:55:06.402189,70.115,70.115,70.115,0.0
2026-02-23T07:55:06.475476,70.085,70.085,70.085,0.0
2026-02-23T07:55:06.548646,70.104,70.104,70.104,0.0
2026-02-23T07:55:06.621282,70.139,70.139,70.139,0.0
2026-02-23T07:55:06.694152,70.099,70.099,70.099,0.0
2026-02-23T07:55:06.767897,70.113,70.113,70.113,0.0
2026-02-23T07:55:06.841464,70.171,70.171,70.171,0.0
2026-02-23T07:55:06.915110,70.097,70.097,70.097,0.0
2026-02-23T07:55:06.988813,70.152,70.152,70.152,0.0
2026-02-23T07:55:07.062697,70.155,70.155,70.155,0.0
2026-02-23T07:55:07.136317,70.14,70.14,70.14,0.0
2026-02-23T07:55:07.209404,70.157,70.157,70.157,0.0
2026-02-23T07:55:07.282493,70.095,70.095,70.095,0.0
2026-02-23T07:55:07.355769,70.098,70.098,70.098,0.0
2026-02-23T07:55:07.431110,72.298,72.298,72.298,0.0
2026-02-23T07:55:07.504713,70.098,70.098,70.098,0.0
2026-02-23T07:55:07.578120,70.061,70.061,70.061,0.0
2026-02-23T07:55:07.651356,70.086,70.086,70.086,0.0
2026-02-23T07:55:07.724531,70.082,70.082,70.082,0.0
2026-02-23T07:55:07.797784,70.107,70.107,70.107,0.0
2026-02-23T07:55:07.870903,70.073,70.073,70.073,0.0
2026-02-23T07:55:07.944193,70.101,70.101,70.101,0.0
2026-02-23T07:55:08.017707,70.062,70.062,70.062,0.0
2026-02-23T07:55:08.090824,70.066,70.066,70.066,0.0
2026-02-23T07:55:08.163902,70.107,70.107,70.107,0.0
2026-02-23T07:55:08.237260,70.085,70.085,70.085,0.0
2026-02-23T07:55:08.310068,70.092,70.092,70.092,0.0
2026-02-23T07:55:08.383295,70.077,70.077,70.077,0.0
2026-02-23T07:55:08.456554,70.069,70.069,70.069,0.0
2026-02-23T07:55:08.529535,70.063,70.063,70.063,0.0
2026-02-23T07:55:08.601685,70.041,70.041,70.041,0.0
2026-02-23T07:55:18.604113,,,,100.0
2026-02-23T07:55:18.678260,70.085,70.085,70.085,0.0
2026-02-23T07:55:18.751554,70.081,70.081,70.081,0.0
2026-02-23T07:55:18.824734,70.113,70.113,70.113,0.0
2026-02-23T07:55:28.828046,,,,100.0
2026-02-23T07:55:28.901847,70.139,70.139,70.139,0.0
2026-02-23T07:55:28.974991,70.069,70.069,70.069,0.0
2026-02-23T07:55:29.047120,70.115,70.115,70.115,0.0
2026-02-23T07:55:29.120034,70.075,70.075,70.075,0.0
2026-02-23T07:55:29.193022,70.06,70.06,70.06,0.0
2026-02-23T07:55:29.265940,70.056,70.056,70.056,0.0
2026-02-23T07:55:29.338970,70.137,70.137,70.137,0.0
2026-02-23T07:55:29.412049,70.058,70.058,70.058,0.0
2026-02-23T07:55:29.485077,70.092,70.092,70.092,0.0
2026-02-23T07:55:29.558771,70.139,70.139,70.139,0.0
2026-02-23T07:55:29.631805,70.131,70.131,70.131,0.0
2026-02-23T07:55:29.704705,70.073,70.073,70.073,0.0
2026-02-23T07:55:29.777471,70.086,70.086,70.086,0.0
2026-02-23T07:55:29.850194,70.083,70.083,70.083,0.0
2026-02-23T07:55:29.923995,70.137,70.137,70.137,0.0
2026-02-23T07:55:29.996922,70.051,70.051,70.051,0.0
2026-02-23T07:55:30.069951,70.135,70.135,70.135,0.0
2026-02-23T07:55:30.143005,70.06,70.06,70.06,0.0
2026-02-23T07:55:30.216959,70.08,70.08,70.08,0.0
2026-02-23T07:55:30.290144,70.104,70.104,70.104,0.0
2026-02-23T07:55:30.363509,70.095,70.095,70.095,0.0
2026-02-23T07:55:30.436920,70.158,70.158,70.158,0.0
2026-02-23T07:55:30.509926,70.057,70.057,70.057,0.0
2026-02-23T07:55:30.582460,70.066,70.066,70.066,0.0
2026-02-23T07:55:40.585007,,,,100.0
2026-02-23T07:55:50.588459,,,,100.0
2026-02-23T07:55:50.661774,70.105,70.105,70.105,0.0
2026-02-23T07:55:50.739104,73.269,73.269,73.269,0.0
2026-02-23T07:55:50.813198,70.068,70.068,70.068,0.0
2026-02-23T07:55:50.886762,70.143,70.143,70.143,0.0
2026-02-23T07:55:50.960451,70.122,70.122,70.122,0.0
2026-02-23T07:55:51.034214,70.072,70.072,70.072,0.0
2026-02-23T07:55:51.107841,70.085,70.085,70.085,0.0
2026-02-23T07:55:51.181614,70.122,70.122,70.122,0.0
2026-02-23T07:55:51.254621,70.084,70.084,70.084,0.0
2026-02-23T07:55:51.327092,70.068,70.068,70.068,0.0
2026-02-23T07:55:51.400845,70.105,70.105,70.105,0.0
2026-02-23T07:55:51.473577,70.11,70.11,70.11,0.0
2026-02-23T07:55:51.546957,70.061,70.061,70.061,0.0
2026-02-23T07:55:51.619925,70.167,70.167,70.167,0.0
2026-02-23T07:55:51.693703,70.085,70.085,70.085,0.0
2026-02-23T07:55:51.767077,70.06,70.06,70.06,0.0
2026-02-23T07:55:51.840544,70.072,70.072,70.072,0.0
2026-02-23T07:55:51.913492,70.133,70.133,70.133,0.0
2026-02-23T07:55:51.986212,70.071,70.071,70.071,0.0
2026-02-23T07:55:52.058696,70.103,70.103,70.103,0.0
2026-02-23T07:55:52.131634,70.106,70.106,70.106,0.0
2026-02-23T07:55:52.204765,70.077,70.077,70.077,0.0
2026-02-23T07:56:02.207553,,,,100.0
2026-02-23T07:56:02.281568,70.082,70.082,70.082,0.0
2026-02-23T07:56:02.355465,70.113,70.113,70.113,0.0
2026-02-23T07:56:02.430717,71.786,71.786,71.786,0.0
2026-02-23T07:56:02.503739,70.076,70.076,70.076,0.0
2026-02-23T07:56:02.576327,70.058,70.058,70.058,0.0
2026-02-23T07:56:02.649751,70.068,70.068,70.068,0.0
2026-02-23T07:56:12.653250,,,,100.0
2026-02-23T07:56:22.655609,,,,100.0
2026-02-23T07:56:22.729863,70.129,70.129,70.129,0.0
2026-02-23T07:56:22.803663,70.082,70.082,70.082,0.0
2026-02-23T07:56:22.877055,70.093,70.093,70.093,0.0
2026-02-23T07:56:22.950775,70.083,70.083,70.083,0.0
2026-02-23T07:56:23.023876,70.097,70.097,70.097,0.0
2026-02-23T07:56:23.097266,70.127,70.127,70.127,0.0
2026-02-23T07:56:23.170741,70.078,70.078,70.078,0.0
2026-02-23T07:56:23.244145,70.118,70.118,70.118,0.0
2026-02-23T07:56:23.317042,70.096,70.096,70.096,0.0
2026-02-23T07:56:23.390150,70.07,70.07,70.07,0.0
2026-02-23T07:56:23.463824,70.092,70.092,70.092,0.0
